"MAKE","MODEL","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Swaraj","SWARAJ 744 XT ","795553","731909","673356","619488","576123","541556","509063","478519","449808","422819","397450","373603","351187","330116","310309","217216","204183","191932","180416","169591"
"Swaraj","SWARAJ 834 FE","597660","549847","505859","465391","432813","406844","382434","359488","337918","317643","298585","280670","263830","248000","233120","163184","153393","144189","135538","127406"
"Swaraj","SWARAJ 843 XM","640829","563930","496258","446633","410902","386248","363073","341289","320811","301563","283469","266461","250473","235445","221318","154923","145627","136890","128676","120956"
"Swaraj","SWARAJ 855 FE","871372","801663","737530","678527","631030","593169","557578","524124","492676","463116","435329","409209","384657","361577","339883","237918","223643","210224","197611","185754"
"Swaraj","SWARAJ 841 ","583418","501739","436513","392862","353576","332361","312419","293674","276054","259491","243921","229286","215529","202597","190441","133309","125310","117792","110724","104081"
"Swaraj","SWARAJ742XT","681166","613049","557875","513245","477318","448679","421758","396453","372665","350306","329287","309530","290958","273501","257091","179963","169166","159016","149475","140506"
"Swaraj","SWARAJ 825","433578","381548","335763","302186","278011","261331","245651","230912","217057","204034","191792","180284","169467","159299","149741","104819","98530","92618","87061","81837"
"TAFE ","TAFE 30","570979","525301","483277","444614","413491","388682","365361","343439","322833","303463","285255","268140","252052","236928","222713","155899","146545","137752","129487","121718"
"TAFE ","MF 1035 DI R","630890","580419","533985","491267","456878","429465","403697","379476","356707","335305","315186","296275","278499","261789","246081","172257","161922","152206","143074","134489"
"TAFE ","MF 1035 Mahashakti","646266","594565","546999","503240","468013","439932","413536","388724","365400","343476","322868","303496","285286","268169","252079","176455","165868","155916","146561","137767"
"TAFE ","MF 241 DI Mahashakti","748202","688346","633279","582616","541833","509323","478764","450038","423036","397654","373794","351367","330285","310468","291840","204288","192030","180509","169678","159497"
"TAFE ","MF 241 DI PD ","793539","730056","671652","617920","574665","540185","507774","477308","448669","421749","396444","372657","350298","329280","309523","216666","203666","191446","179960","169162"
"TAFE ","MF 245 DI","735615","669410","615857","572747","532655","500696","470654","442415","415870","390918","367463","345415","324690","305208","286896","200827","188778","177451","166804","156796"
"TAFE ","MF 7250","775305","697774","634974","584177","543284","510687","480046","451243","424169","398718","374795","352308","331169","311299","292621","204835","192545","180992","170132","159925"
"TAFE ","MF 9000 PD","816042","734438","668338","614871","571830","537520","505269","474953","446456","419669","394488","370819","348570","327656","307996","215598","202662","190502","179072","168328"
"TAFE ","MF 241 TONNER","765612","704363","648014","596173","554441","521175","489904","460510","432879","406906","382492","359543","337970","317692","298630","209041","196499","184709","173626","163209"
"TAFE ","MF 1035 DI TONNER","679055","624730","574752","528772","491758","462252","434517","408446","383939","360903","339249","318894","299760","281775","264868","185408","174283","163826","153997","144757"
"TAFE ","TAFE 245 SMART","719448","647503","589228","542090","504143","473895","445461","418733","393609","369993","347793","326926","307310","288872","271539","190077","178673","167952","157875","148403"
"John Deere","JD 5105","556871","506752","466212","433577","403227","379033","356291","334914","314819","295930","278174","261484","245795","231047","217184","152029","142907","134333","126273","118696"
"Sonalika ","DI 35","666093","612805","563781","518678","482371","453429","426223","400649","376611","354014","332773","312807","294038","276396","259812","181869","170956","160699","151057","141994"
"Sonalika ","DI 42 RX","673026","612453","563457","524015","487334","458094","430608","404772","380486","357656","336197","316025","297064","279240","262486","183740","172715","162353","152611","143455"
"Sonalika ","DI 50","702145","631931","575057","529052","492019","462498","434748","408663","384143","361095","339429","319063","299919","281924","265009","185506","174376","163913","154078","144834"
"Swaraj","SWARAJ 963","850174","765157","696292","640589","595748","560003","526403","494819","465129","437222","410988","386329","363149","341360","320879","224615","211138","198470","186562","175368"
